textbox1,textbox19,textbox20,textbox17,textbox16,textbox14,textbox12,textbox15,textbox13,textbox7,textbox26,textbox27,textbox297,textbox298,textbox28,textbox18
Status and Sub-Status by Hauling Unit,Report Created On:,12-08-2026,Description:,Parameters:,Start Shift Date:,01-07-2026,End Shift Date:,31-07-2026,,,All,Status Category:,Fleet:,All,This report contains a spreadsheet of all the statuses that the specified hauling unit was in during the specified time period.

Textbox3,Textbox38,Textbox40,Textbox42,textbox4,FLT_DESC1,NAME,STATUSCAT_DESCRIP,STATUS_DESC,SUB_STATUS_DESC,DURATION1,Textbox29,Textbox33,Textbox34,DURATION
Hauling Unit,Status Category,Status Code,Sub-Status Code,Duration(Hours),Caterpillar 773E,RD-O02,Net Operating,N07 - Dumping,,2.69,Total,7435.22,Grand Total,51923.57
Hauling Unit,Status Category,Status Code,Sub-Status Code,Duration(Hours),Caterpillar 773E,RD-O02,Net Operating,N09 - General Production,,0.02,Total,7435.22,Grand Total,51923.57
Hauling Unit,Status Category,Status Code,Sub-Status Code,Duration(Hours),Caterpillar 773E,RD-O02,Standby,S03 - Schedule No Work,,9.97,Total,7435.22,Grand Total,51923.57
Hauling Unit,Status Category,Status Code,Sub-Status Code,Duration(Hours),Caterpillar 773E,RD-O03,Delay,D03 - Delay At Hopper,,6.65,Total,7435.22,Grand Total,51923.57
Hauling Unit,Status Category,Status Code,Sub-Status Code,Duration(Hours),Caterpillar 773E,RD-O03,Delay,S05 - Stuck in Mud,,0.04,Total,7435.22,Grand Total,51923.57
Hauling Unit,Status Category,Status Code,Sub-Status Code,Duration(Hours),Caterpillar 773E,RD-O03,Delay,S18 - Wireless Infrastructure/Network,,1.36,Total,7435.22,Grand Total,51923.57
Hauling Unit,Status Category,Status Code,Sub-Status Code,Duration(Hours),Caterpillar 773E,RD-O03,Delay,S19 - Tea/ Breakfast / Snacks,,79.94,Total,7435.22,Grand Total,51923.57
Hauling Unit,Status Category,Status Code,Sub-Status Code,Duration(Hours),Caterpillar 773E,RD-O03,Delay,S20 - Shift Change,,119.06,Total,7435.22,Grand Total,51923.57
Hauling Unit,Status Category,Status Code,Sub-Status Code,Duration(Hours),Caterpillar 773E,RD-O03,Delay,S25 - Toilet Break,,4.19,Total,7435.22,Grand Total,51923.57
Hauling Unit,Status Category,Status Code,Sub-Status Code,Duration(Hours),Caterpillar 773E,RD-O03,Delay,S31 - Fuel Filling,,0.37,Total,7435.22,Grand Total,51923.57
Hauling Unit,Status Category,Status Code,Sub-Status Code,Duration(Hours),Caterpillar 773E,RD-O03,Down,O01 -  Down,,143.22,Total,7435.22,Grand Total,51923.57
Hauling Unit,Status Category,Status Code,Sub-Status Code,Duration(Hours),Caterpillar 773E,RD-O03,Down,O03 - Daily Service,,0.01,Total,7435.22,Grand Total,51923.57
Hauling Unit,Status Category,Status Code,Sub-Status Code,Duration(Hours),Caterpillar 773E,RD-O03,Net Operating,N00 - Wait At Dump,,57.72,Total,7435.22,Grand Total,51923.57
Hauling Unit,Status Category,Status Code,Sub-Status Code,Duration(Hours),Caterpillar 773E,RD-O03,Net Operating,N01 - Truck Loading,,50.34,Total,7435.22,Grand Total,51923.57
