textbox1,textbox21,textbox22,textbox16,textbox17,textbox14,textbox12,textbox15,textbox13,textbox199,textbox20,textbox28,textbox29,textbox3333,textbox32,textbox33345,textbox333465,textbox18
Payload Statistics by Fleet and Hauling Unit Operator,Report Created On:,12-08-2026,Parameters:,Description:,Start Shift Date:,01-07-2026,End Shift Date:,31-07-2026,Min Payload:,0,Max Payload:,99999999,Hauling Unit:,All,Crew:,All,This report contains a graph and a spreadsheet showing the payload amounts that each operator delivered for a specified time period.  This report is grouped by fleet.

PAYLOAD REPORTING_label,PAYLOAD REPORTING_Chart2_CategoryGroup_label,PAYLOAD REPORTING_Chart2_CategoryGroup_Value_Y
PAYLOAD REPORTING,270549,73.71691358024691358024691358
PAYLOAD REPORTING,270550,88.97566666666666666666666667
PAYLOAD REPORTING,270551,93.54166666666666666666666667
PAYLOAD REPORTING,270553,90.46024464831804281345565749
PAYLOAD REPORTING,270555,86.55945945945945945945945946
PAYLOAD REPORTING,270556,88.88730158730158730158730159
PAYLOAD REPORTING,270557,85.53233082706766917293233083
PAYLOAD REPORTING,270558,88.41576923076923076923076923
PAYLOAD REPORTING,270560,87.66818181818181818181818182
PAYLOAD REPORTING,270561,83.96352380952380952380952381
PAYLOAD REPORTING,270562,87.68777777777777777777777778
PAYLOAD REPORTING,270565,83.9160
PAYLOAD REPORTING,270573,80.68641975308641975308641975
PAYLOAD REPORTING,270574,67.591463414634146341463414634
PAYLOAD REPORTING,270575,78.642391304347826086956521739
PAYLOAD REPORTING,270576,85.36906077348066298342541436
PAYLOAD REPORTING,270577,85.62033898305084745762711864
PAYLOAD REPORTING,270578,82.09159663865546218487394958
PAYLOAD REPORTING,270579,83.77777777777777777777777778
PAYLOAD REPORTING,270580,75.357281553398058252427184466
PAYLOAD REPORTING,270581,79.69661016949152542372881356
PAYLOAD REPORTING,270582,86.3250
PAYLOAD REPORTING,270583,84.08421052631578947368421053
PAYLOAD REPORTING,270584,78.621428571428571428571428571
PAYLOAD REPORTING,270585,84.61812080536912751677852349
PAYLOAD REPORTING,270590,45.091904761904761904761904762
PAYLOAD REPORTING,270591,43.6050
PAYLOAD REPORTING,270593,42.006666666666666666666666667
PAYLOAD REPORTING,270594,46.365833333333333333333333333
PAYLOAD REPORTING,270596,43.4700
PAYLOAD REPORTING,270597,41.7390
PAYLOAD REPORTING,270598,42.486638655462184873949579832
PAYLOAD REPORTING,270599,41.7400
PAYLOAD REPORTING,270600,44.160357142857142857142857143
PAYLOAD REPORTING,270601,40.171818181818181818181818182
PAYLOAD REPORTING,270602,41.950909090909090909090909091
